ville,avg_actual,avg_pred,avg_gap,avg_gap_pct,count
Tunis,15681.029411764706,8449.911655401855,7231.117756362851,-4.750457681655538,68
l'aouina,1385.8208955223881,1236.9181278158017,148.9027677065863,5.040756216598635,67
Chott Mariem,1284.530303030303,1121.2444072225728,163.28589580773036,-21.65883554175637,66
Hammam El Ghezaz,79205.55555555556,81043.66837032649,-1838.1128147709169,-27.48472742222764,54
Jardin d'El Menzah,1078.1923076923076,1053.3750323806871,24.81727531162054,-8.087212234832498,52
Manar,1262.7450980392157,1162.0221169720694,100.72298106714635,1.738203505110891,51
Raoued,174903.88,141551.6743432463,33352.20565675371,-4.1361357631967275,50
Ennasser,1226.2,1156.2119787532615,69.98802124673855,0.02865375509873317,50
Ariana,866.1224489795918,879.6549003630508,-13.532451383459012,-9.867293993235384,49
Baraket Essahel,1225.4791666666667,1272.9537185151069,-47.47455184844021,-18.280207974165936,48
Bizerte Nord,112756.58536585367,118112.27234173533,-5355.686975881652,-23.457468099378538,41
Mahdia,11540.78947368421,6240.479894067053,5300.309579617157,-26.948452623203078,38
Mutuelle,3076.8571428571427,2675.9596778436476,400.8974650134953,4.827893443737458,35
Djerba,1285.2941176470588,1213.1131009842386,72.18101666282023,-28.41861010992935,34
El Haouaria,78842.42424242424,87819.09192959487,-8976.667687170622,-22.13105186541582,33
Cité El Wafa,1080.6060606060605,1004.9804242301627,75.62563637589801,-0.1289086694347065,33
Khezema,1167.1875,1097.1001002764503,70.08739972354975,-2.3875749897568133,32
Boumhal Ben Arous,964.0625,972.2848778477019,-8.22237784770185,-11.492056646428116,32
Mnihla,217159.625,175080.85007799644,42078.77492200355,-8.511290228556208,32
Nouvelle Medina,161598.4375,158789.28365466482,2809.153845335169,-1.362386339729727,32
Le Bardo,107762.25806451614,88087.8317298736,19674.426334642536,-7.215876304538631,31
Sidi Thabet,86051.66666666667,82226.94586959637,3824.720797070299,-51.05524996614024,30
Monastir,39128.620689655174,22323.73424895874,16804.88644069643,-2.1718341672994734,29
Hammam Chatt,104306.60714285714,104548.86237116267,-242.25522830554038,-7.542487838218807,28
Corniche,1267.7777777777778,1102.2347391413348,165.54303863644287,-4.850971279790152,27
Cité Les Pins,3331.4814814814813,2748.952731053631,582.5287504278501,10.528249871619805,27
Akouda,268436.53846153844,227098.52388580417,41338.014575734305,-6.071664966201022,26
Bou Ficha,198142.3076923077,179930.4858134934,18211.82187881429,-1.800967057123895,26
Mourouj,626.0,646.1100674895647,-20.110067489564745,-8.552198818978749,25
Cité Olympique,981.2,932.8333354823692,48.36666451763083,0.7392455416867965,25
Lac 2,1748.0,1753.6301566497198,-5.6301566497197335,-14.215152289246623,25
Bir Bouragba,1752.0,1759.752758536881,-7.752758536880983,-15.905645921944314,25
Sourrour,1549.1666666666667,1331.8932535831811,217.27341308348545,5.300821541066508,24
La Corniche Bizerte,873.5416666666666,1001.0820385713355,-127.54037190466886,-105.09491763585987,24
La Goulette,98720.41666666667,62099.76198386078,36620.654682805885,6.9881781744386515,24
Bardo,910.2173913043479,835.084278748772,75.1331125555759,0.4549761024114776,23
Sfax,695.0,757.2394526388155,-62.23945263881551,-22.57343414806182,22
Menzel Temime,186281.42857142858,76176.54892478383,110104.87964664472,-3.598565116836476,21
Ben Arous,45446.666666666664,53164.00827133907,-7717.341604672407,-5.20926938107776,21
Megrine,63303.5,26102.344157232637,37201.15584276736,0.8306194317139888,20
El Omrane Supérieur,765.25,652.1791783522085,113.07082164779149,-7.920950840578544,20
Sousse Jaouhara,323415.7894736842,294620.79704540607,28794.99242827814,0.9009091480004602,19
Menzah_9B,1543.6842105263158,1247.1754854448657,296.5087250814501,11.588970426880255,19
El Menzah 1,2452.777777777778,1994.5289012569297,458.24887652084806,3.4123645886680323,18
Nkhilette,807.2222222222222,819.6533220685556,-12.43109984633328,-4.8295782444320094,18
Olfa cité Nour jaefer ariena,700.0,576.7733563000538,123.22664369994618,11.484319303340193,17
Cite El Khadra,351177.0588235294,269438.45407533593,81738.60474819352,-14.577912783930266,17
Bou Mhel El Bassatine,177226.4705882353,157024.02688986505,20202.443698370214,-29.272950176852447,17
Midoun,1576.25,1353.7807658112158,222.4692341887842,-40.35859627384632,16
El Kram,190356.25,199156.35491081112,-8800.104910811096,-0.7277192021498862,16
Ben Zert,760.625,682.0641041573496,78.56089584265048,3.734773340945777,16
Kélibia,1100.0,935.6980573405184,164.30194265948165,-23.861516814303332,16
El Omrane Superieur,117632.0,105008.4412348295,12623.55876517051,-28.335114741616785,15
